"","logFC","logCPM","LR","PValue","FDR"
"AT4G02520.1",-1.33697808599566,5.67550542550719,72.5190215957935,1.65429737385153e-17,2.40526960551471e-14
"AT1G02920.1",-1.40678138009757,2.41159889454106,28.2718860584793,1.05415958326782e-07,3.80662842022079e-05
"AT1G33960.1",-1.8029340412937,1.27880409269363,25.7760731914112,3.83412227144625e-07,0.000115908173578285
"AT3G50480.1",-1.10095922966749,2.62466518627078,21.5760767264449,3.40067283094459e-06,0.000811193308962743
"AT3G23550.1",-2.00663873987585,0.702013057445696,20.4472059663227,6.129897969287e-06,0.00134650485392978
"AT5G20230.1",-0.826595394632847,3.14369922955103,15.12445139936,0.000100651165674726,0.0150646178507176
"AT3G57260.1",-0.984031635134043,2.21499904497078,14.5070381976851,0.000139636862568796,0.0200165836845683
"AT2G41090.1",-0.539279961414541,6.66123234553559,13.7017590919598,0.000214253708367522,0.0284426455547197
"AT4G14400.1",-0.636777937932628,4.32633778967201,13.4851121278752,0.000240463768279681,0.0300947040784457
"AT2G32160.3",-1.1399168093167,1.63181515690844,13.3329855696478,0.00026077799092667,0.0319772465741527
"AT4G11890.3",-1.46221940028118,0.883404640303747,13.0231088729266,0.000307670619994676,0.036270683553272
"AT1G14880.1",-1.63032801941676,0.550178046739681,12.5343426394602,0.000399540148838237,0.0443605795071923
"AT3G22231.1",-0.758477771816699,3.20394369985101,12.5200446329003,0.000402609271300737,0.044539380002266
